PRODUCT_ID,segment
847292,6
847302,10
847314,6
847344,1
847374,6
847401,0
847428,8
847434,6
847469,10
847487,9
847491,4
847521,11
847529,6
847540,10
847570,8
847573,7
847579,0
847592,8
847598,0
847603,8
847614,8
847631,7
847634,8
847637,7
847657,6
847669,10
847677,7
847693,8
847703,3
847720,10
847738,7
847739,8
847745,10
847753,1
847774,5
847789,2
847790,7
847803,1
847837,0
847843,6
847844,8
847853,10
847901,3
847962,0
847966,11
847980,4
847982,2
847988,8
847989,7
847994,6
847997,8
848010,6
848015,1
848022,0
848029,2
848034,8
848045,10
848049,10
848059,6
848060,6
848062,8
848071,1
848107,7
848127,8
848128,8
848136,1
848147,0
848154,2
848168,6
848236,8
848247,1
848268,2
848270,3
848278,6
848297,5
848319,2
848322,8
848329,1
848351,0
848355,7
848356,7
848369,3
848402,10
848412,6
848444,0
848471,1
848492,0
848561,7
848580,6
848586,8
848605,8
848609,3
848621,8
848631,1
848659,3
848666,10
848669,1
848681,11
848684,8
848702,8
848708,4
848725,0
848733,8
848752,0
848761,7
848765,8
848773,6
848783,6
848798,6
848831,0
848832,0
848846,3
848878,8
848879,10
848907,8
848945,8
848961,10
848970,1
848971,1
848988,0
848990,8
849003,2
849018,1
849021,8
849032,0
849066,5
849072,0
849078,6
849081,6
849082,7
849086,0
849090,6
849098,2
849100,3
849110,8
849120,6
849129,10
849152,8
849202,2
849205,1
849220,6
849250,8
849257,7
849264,2
849274,7
849288,8
849297,8
849299,0
849315,2
849318,8
849325,10
849330,0
849375,4
849414,10
849440,5
849457,8
849461,5
849464,0
849466,1
849469,5
849470,7
849501,10
849505,3
849515,0
849520,10
849539,8
849544,6
849549,6
849559,7
849578,7
849589,0
849590,10
849618,1
849629,8
849636,0
849670,6
849688,8
849694,6
849697,7
849701,7
849713,10
849756,7
849796,8
849809,8
849843,11
849870,1
849871,8
849886,0
849896,10
849901,10
849931,0
850004,1
850020,7
850025,10
850028,11
850044,1
850058,2
850066,8
850072,8
850102,2
850104,10
850107,9
850115,3
850133,7
850134,6
850139,10
850157,2
850159,4
850174,8
850204,8
850208,0
850221,5
850229,5
850240,0
850281,7
850290,1
850304,5
850317,8
850324,0
850343,8
850391,6
850421,3
850441,8
850442,6
850450,8
850463,3
850473,8
850501,5
850525,1
850529,1
850530,0
850533,7
850546,7
850559,8
850562,3
850564,10
850573,8
850574,8
850578,6
850599,6
850601,7
850614,2
850645,2
850651,8
850652,1
850656,7
850676,1
850678,8
850679,7
850687,8
850689,5
850690,10
